,HorseName,HorseOrigin,Age,YearOfBirth,Color,Sex,H_SeasonalStake,H_TotalStake,H_1st,H_2nd,H_3rd,H_Total,Trainer,CurrentRating,StartofTheSeasonRating
758,福星高照,澳洲,6,2016,棗,閹,"$141,750","$1,143,000",2,0,2,24,容天鵬,29,32
759,福朵朵,南非,4,2018,棗／棕,閹,"$64,800","$64,800",0,0,0,6,苗禮德,41,49
760,福滿圍家,澳洲,4,2018,栗,閹,$0,$0,0,0,0,0,黎昭昇,72,72
761,福滿寶,英國,6,2016,棗,閹,"$918,000","$3,555,225",3,5,4,42,賀賢,51,44
762,福祐,澳洲,4,2018,棗,閹,$0,"$36,400",0,0,0,10,高伯新,33,42
763,福至,澳洲,3,2019,棗,閹,$0,$0,0,0,0,0,高伯新,52,52
764,福逸,澳洲,6,2016,棗,閹,"$16,530,000","$56,586,190",12,1,0,19,高伯新,128,123
765,禪勝寶駒,美國,5,2017,灰,閹,"$1,501,000","$6,444,900",6,3,5,31,呂健威,85,79
766,禪勝輝煌,美國,2,2020,棕,雄,$0,$0,0,0,0,0,呂健威,,
767,禾道福星,愛爾蘭,3,2019,棗,閹,"$158,400","$158,400",0,0,0,2,大衛希斯,75,75
768,穿甲鷹,澳洲,5,2017,棗,閹,$0,"$1,695,600",1,1,2,12,黎昭昇,68,70
769,竣誠寶驅,英國,4,2018,棗,閹,"$198,375","$198,375",0,0,1,4,高伯新,64,68
770,童話,德國,8,2014,灰,閹,$0,"$4,527,890",3,4,4,50,徐雨石,40,42
771,競技勇士,紐西蘭,8,2014,灰,閹,$0,"$7,475,000",6,3,1,55,葉楚航,55,55
772,競駿光輝,英國,3,2019,棗,閹,$0,$0,0,0,0,0,葉楚航,66,66
773,競駿天下,澳洲,4,2018,栗,閹,$0,"$119,600",0,0,1,6,大衛希斯,43,48
774,競駿無敵,法國,3,2019,棗,閹,"$237,600","$433,100",0,1,2,4,苗禮德,50,50
775,競駿翩翩,澳洲,6,2016,棗,閹,"$853,200","$1,708,600",2,1,2,17,蘇偉賢,53,46
776,競駿高歌,澳洲,4,2018,棗,閹,$0,$0,0,0,0,6,丁冠豪,36,41
777,笑哥兒,紐西蘭,5,2017,棗,閹,$0,"$4,422,450",1,2,1,10,蔡約翰,92,93
778,符號,愛爾蘭,5,2017,棗,閹,$0,"$253,000",0,0,1,15,徐雨石,52,57
779,管之友,愛爾蘭,4,2018,棕,閹,"$461,700","$461,700",1,0,0,8,賀賢,43,43
780,管之心,美國,2,2020,灰,雄,$0,$0,0,0,0,0,呂健威,,
781,簹多福,南非,6,2016,棕,閹,"$60,375","$1,736,475",1,1,0,26,苗禮德,56,64
782,精彩勇士,澳洲,6,2016,棗,閹,"$301,875","$5,136,725",2,5,6,32,大衛希斯,75,79
783,精彩動力,澳洲,4,2018,棕,閹,$0,$0,0,0,0,0,方嘉柏,76,76
784,精彩生活,愛爾蘭,5,2017,栗,閹,"$237,600","$410,100",0,1,1,12,姚本輝,48,48
785,精彩非凡,澳洲,6,2016,棕,閹,"$286,200","$1,478,950",0,2,3,29,方嘉柏,43,45
786,精明勇駿,澳洲,5,2017,棗,閹,"$237,600","$1,449,200",1,3,0,17,何良,45,47
787,精準快車,愛爾蘭,6,2016,棕,閹,"$218,500","$4,109,050",3,2,4,27,姚本輝,75,74
788,精益大師,英國,2,2020,棗,雄,$0,$0,0,0,0,0,葉楚航,63,63
789,精算其然,英國,5,2017,棗,閹,"$490,050","$760,450",1,1,0,14,呂健威,41,39
790,精算謀略,澳洲,3,2019,棕,閹,$0,$0,0,0,0,0,蔡約翰,52,52
791,精算赤焰,愛爾蘭,5,2017,棗,閹,"$396,900","$705,000",0,1,3,22,蔡約翰,22,26
792,精英至尊,英國,3,2019,棕,閹,$0,$0,0,0,0,1,高伯新,67,67
793,精選威,澳洲,4,2018,棗,閹,$0,"$2,080,500",3,0,0,8,呂健威,67,68
794,精靈勇士,法國,5,2017,栗,閹,$0,"$8,980,750",5,3,3,21,方嘉柏,107,109
795,紀利大師,澳洲,3,2019,棗,閹,$0,$0,0,0,0,1,丁冠豪,52,52
796,紅愛舍,英國,3,2019,棗,閹,$0,$0,0,0,0,1,文家良,83,83
797,紅旺,紐西蘭,7,2015,灰,閹,"$258,750","$5,452,500",4,5,8,43,葉楚航,59,62
798,紅楓勝景,澳洲,4,2018,棗,閹,"$198,375","$198,375",0,0,1,1,韋達,72,72
799,紅海勁,澳洲,3,2019,灰,閹,$0,$0,0,0,0,0,文家良,52,52
800,紅海福星,澳洲,6,2016,棕,閹,"$275,400","$1,428,900",2,1,1,19,文家良,43,43
801,紅磚勇士,澳洲,7,2015,棗,閹,"$615,600","$4,184,380",6,2,3,40,賀賢,58,53
802,紅粉豐彩,英國,4,2018,棗,閹,"$124,200","$469,600",0,1,1,9,韋達,56,63
803,紅衣火旺,澳洲,5,2017,棗,閹,"$103,500","$2,755,300",2,2,4,22,羅富全,56,62
804,紅衣震撼,澳洲,7,2015,棗,閹,"$1,901,250","$4,058,300",3,4,6,27,伍鵬志,68,50
805,紅褲之王,澳洲,5,2017,棕,閹,"$64,800","$1,694,200",1,3,2,22,黎昭昇,38,44
806,紅運大師,德國,6,2016,棗,閹,"$500,250","$8,974,550",4,3,7,44,蔡約翰,69,76
807,紅運帝王,愛爾蘭,3,2019,棕,閹,"$558,900","$558,900",0,1,0,2,蔡約翰,74,71
808,紅運泰斗,英國,4,2018,棗,閹,"$486,450","$910,350",0,0,3,11,蔡約翰,57,62
809,紅運閃耀,愛爾蘭,4,2018,棗,閹,$0,"$97,750",0,0,1,6,韋達,41,45
810,紅酒之寶,澳洲,6,2016,栗,閹,$0,"$2,190,650",1,3,2,25,容天鵬,56,65
811,紅鬃烈馬,紐西蘭,6,2016,棗,閹,"$653,400","$3,451,600",3,6,1,29,葉楚航,48,43
812,紅麗舍,英國,9,2013,栗,閹,"$102,600","$7,706,675",5,11,10,80,文家良,47,51
813,純金酒杯,澳洲,5,2017,棗／棕,閹,"$1,757,700","$1,847,400",3,0,1,10,呂健威,63,38
814,級數,澳洲,4,2018,棗,閹,$0,$0,0,0,0,0,伍鵬志,80,80
815,紫菜福星,紐西蘭,7,2015,棗,閹,"$834,100","$2,747,100",3,1,3,21,呂健威,62,57
