,HorseName,HorseOrigin,Age,YearOfBirth,Color,Sex,H_SeasonalStake,H_TotalStake,H_1st,H_2nd,H_3rd,H_Total,H_Trainer,CurrentRating,StartofTheSeasonRating
486,神州俊馬,澳洲,7,2015,棗,閹,Not Available,"$2,307,285",3,0,4,23,Not Available,55,NotAvailable
487,神州福星,法國,7,2015,棗,閹,Not Available,"$1,842,870",1,1,5,41,Not Available,34,NotAvailable
488,神州風範,澳洲,7,2015,棗,閹,Not Available,"$145,750",0,0,0,9,Not Available,56,NotAvailable
489,神期大帝,澳洲,7,2015,棗,閹,Not Available,"$2,060,520",3,2,1,21,Not Available,53,NotAvailable
490,神業,日本,7,2015,深棗,雄,Not Available,"$1,425,000",0,0,0,2,Not Available,,NotAvailable
491,神火金剛,澳洲,7,2015,棗,閹,Not Available,"$740,575",1,0,1,30,Not Available,16,NotAvailable
492,神舟寶駒,英國,7,2015,栗,閹,Not Available,"$1,233,000",1,1,0,33,Not Available,37,NotAvailable
493,神舟駿星,澳洲,7,2015,棗,閹,Not Available,"$87,500",0,0,0,10,Not Available,50,NotAvailable
494,神馬飛揚,法國,7,2015,棗,閹,Not Available,"$1,264,425",1,3,1,38,Not Available,23,NotAvailable
495,神駿馬車,紐西蘭,7,2015,棗,閹,Not Available,"$2,799,885",3,0,4,19,Not Available,68,NotAvailable
496,神龍駒,澳洲,7,2015,棗,閹,Not Available,"$5,190,380",4,4,3,54,Not Available,56,NotAvailable
497,祥勝寶駒,澳洲,7,2015,棗,閹,Not Available,"$58,020",0,0,0,12,Not Available,19,NotAvailable
498,福善,愛爾蘭,7,2015,棗,閹,Not Available,"$1,627,825",2,1,2,25,Not Available,35,NotAvailable
499,福多寶,紐西蘭,7,2015,棗,閹,Not Available,"$4,203,605",5,0,5,27,Not Available,65,NotAvailable
500,福盛,紐西蘭,7,2015,棗,閹,Not Available,"$52,500",0,0,0,3,Not Available,69,NotAvailable
501,禾道駒,紐西蘭,7,2015,黑,閹,Not Available,"$7,913,250",6,4,3,32,Not Available,100,NotAvailable
502,種福者,澳洲,7,2015,棕,閹,Not Available,"$2,689,295",4,2,3,27,Not Available,51,NotAvailable
503,競駿天驕,英國,7,2015,棗,閹,Not Available,"$4,881,950",4,1,6,29,Not Available,82,NotAvailable
504,競駿披星,愛爾蘭,7,2015,棗,閹,Not Available,$0,0,0,0,7,Not Available,49,NotAvailable
505,競駿攻略,英國,7,2015,栗,閹,Not Available,$0,0,0,0,8,Not Available,56,NotAvailable
506,競駿飛鷹,紐西蘭,7,2015,棗,閹,Not Available,"$1,258,900",1,2,4,40,Not Available,13,NotAvailable
507,笑傲成功,澳洲,7,2015,棗,閹,Not Available,"$528,845",1,0,0,19,Not Available,28,NotAvailable
508,管之星,紐西蘭,7,2015,棗,閹,Not Available,"$1,878,620",2,3,2,25,Not Available,49,NotAvailable
509,管得掂,澳洲,7,2015,棗,閹,Not Available,"$1,461,185",1,2,2,13,Not Available,58,NotAvailable
510,箭神寶,澳洲,7,2015,棗,閹,Not Available,"$592,500",1,1,0,13,Not Available,33,NotAvailable
511,簡單精彩,紐西蘭,7,2015,栗,閹,Not Available,$0,0,0,0,1,Not Available,52,NotAvailable
512,粉絲狂歡,澳洲,7,2015,栗,閹,Not Available,"$130,000",0,0,0,5,Not Available,47,NotAvailable
513,精彩有你,澳洲,7,2015,棗,閹,Not Available,"$2,576,960",1,4,6,27,Not Available,47,NotAvailable
514,精彩輝煌,澳洲,7,2015,棗,閹,Not Available,"$2,721,850",2,2,1,24,Not Available,66,NotAvailable
515,精彩飛動,愛爾蘭,7,2015,栗,閹,Not Available,"$3,197,285",4,2,2,54,Not Available,37,NotAvailable
516,精明才子,英國,7,2015,栗,閹,Not Available,"$12,937,950",6,3,3,28,Not Available,107,NotAvailable
517,精益傳奇,紐西蘭,7,2015,灰,閹,Not Available,$0,0,0,0,3,Not Available,46,NotAvailable
518,精算謀攻,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,3,Not Available,50,NotAvailable
519,精算齊同,愛爾蘭,7,2015,栗,閹,Not Available,"$4,855,340",4,5,3,36,Not Available,71,NotAvailable
520,精簡最好,澳洲,7,2015,棗,閹,Not Available,"$2,237,080",3,1,1,17,Not Available,70,NotAvailable
521,糖糖幸運,澳洲,7,2015,棕,閹,Not Available,"$6,101,820",5,2,3,13,Not Available,98,NotAvailable
522,紀利雄星,澳洲,7,2015,棗／棕,閹,Not Available,"$4,724,200",3,6,0,33,Not Available,69,NotAvailable
523,紅寶舍,澳洲,7,2015,棗,閹,Not Available,"$26,250",0,0,0,11,Not Available,20,NotAvailable
524,紅寶金堅,南非,7,2015,棗,閹,Not Available,$0,0,0,0,7,Not Available,21,NotAvailable
525,紅旗飛翔,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,8,Not Available,19,NotAvailable
526,紅星,澳洲,7,2015,棗,閹,Not Available,"$6,830,050",7,2,9,61,Not Available,40,NotAvailable
527,紅粉彩影,愛爾蘭,7,2015,棗,閹,Not Available,"$2,706,425",2,2,2,26,Not Available,67,NotAvailable
528,紅褲福星,澳洲,7,2015,棗／棕,閹,Not Available,$0,0,0,0,7,Not Available,36,NotAvailable
529,紅鞋兒,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,8,Not Available,22,NotAvailable
530,終極焦點,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,1,Not Available,51,NotAvailable
531,綠尚飛馳,紐西蘭,7,2015,棗,閹,Not Available,"$1,885,200",2,1,1,20,Not Available,54,NotAvailable
532,綠彩威利,愛爾蘭,7,2015,栗,閹,Not Available,$0,0,0,0,9,Not Available,56,NotAvailable
533,綠續爆發,澳洲,7,2015,棗,閹,Not Available,"$1,889,100",3,1,0,14,Not Available,58,NotAvailable
534,綠色勇駿,澳洲,7,2015,棗,閹,Not Available,"$1,641,750",0,3,3,18,Not Available,59,NotAvailable
535,綠色時代,澳洲,7,2015,棗,閹,Not Available,"$1,096,000",1,0,0,12,Not Available,68,NotAvailable
536,綠色有運,澳洲,7,2015,棕,閹,Not Available,"$8,986,950",6,5,3,38,Not Available,101,NotAvailable
537,綠豆怪傑,澳洲,7,2015,棗,閹,Not Available,"$148,845",0,0,1,10,Not Available,32,NotAvailable
538,綠魔勇士,紐西蘭,7,2015,棗,閹,Not Available,"$115,000",0,0,1,4,Not Available,52,NotAvailable
539,綫路光輝,紐西蘭,7,2015,棗,閹,Not Available,"$6,572,150",3,4,5,35,Not Available,87,NotAvailable
540,綫路豪傑,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,3,Not Available,47,NotAvailable
541,緻寶駒,紐西蘭,7,2015,棗,閹,Not Available,"$1,255,000",2,0,1,17,Not Available,59,NotAvailable
542,總統之星,澳洲,7,2015,棗,閹,Not Available,"$1,415,590",2,2,1,29,Not Available,15,NotAvailable
543,繽紛遊戲,紐西蘭,7,2015,深棗,閹,Not Available,"$6,667,100",5,4,1,30,Not Available,65,NotAvailable
544,羅馬精神,愛爾蘭,7,2015,棗,雄,Not Available,$0,0,0,0,1,Not Available,,NotAvailable
545,美男子,澳洲,7,2015,栗,閹,Not Available,$0,0,0,0,3,Not Available,46,NotAvailable
546,美麗傳承,紐西蘭,7,2015,棗,閹,Not Available,"$106,233,750",18,4,6,34,Not Available,128,NotAvailable
547,美麗友盈,愛爾蘭,7,2015,棗,閹,Not Available,"$2,212,650",2,1,0,30,Not Available,46,NotAvailable
548,美麗多多,紐西蘭,7,2015,棗,閹,Not Available,"$4,510,975",4,3,2,28,Not Available,72,NotAvailable
549,美麗天使,英國,7,2015,棗,閹,Not Available,"$3,021,240",4,1,1,15,Not Available,71,NotAvailable
550,美麗掌聲,澳洲,7,2015,栗,閹,Not Available,"$8,114,700",6,3,3,22,Not Available,110,NotAvailable
551,美麗日子,愛爾蘭,7,2015,棗,閹,Not Available,"$3,676,100",1,7,5,32,Not Available,62,NotAvailable
552,美麗歡呼,澳洲,7,2015,棗,閹,Not Available,"$557,100",0,1,2,16,Not Available,34,NotAvailable
553,美麗滿紛,澳洲,7,2015,棗,閹,Not Available,"$2,301,000",2,0,1,23,Not Available,77,NotAvailable
554,美麗甜心,澳洲,7,2015,棗,閹,Not Available,"$1,086,400",0,2,1,23,Not Available,56,NotAvailable
555,美麗笑容,愛爾蘭,7,2015,栗,閹,Not Available,"$6,370,000",2,3,2,14,Not Available,97,NotAvailable
556,美麗躍動,澳洲,7,2015,棕,閹,Not Available,"$2,483,250",1,2,5,22,Not Available,63,NotAvailable
557,美麗非凡,澳洲,7,2015,棕,閹,Not Available,"$3,856,500",1,1,1,24,Not Available,72,NotAvailable
558,美麗高飛,澳洲,7,2015,棗／灰,閹,Not Available,"$172,500",0,0,1,4,Not Available,64,NotAvailable
559,翠湖飛鷹,澳洲,7,2015,棕,閹,Not Available,"$5,674,700",6,1,1,21,Not Available,76,NotAvailable
560,翠龍,愛爾蘭,7,2015,棗,閹,Not Available,"$7,570,175",2,3,8,35,Not Available,85,NotAvailable
561,翡翠劇院,澳洲,7,2015,棗,閹,Not Available,"$4,635,345",4,4,3,60,Not Available,28,NotAvailable
562,翡翠精選,南非,7,2015,棗,閹,Not Available,"$3,487,450",2,1,0,16,Not Available,70,NotAvailable
563,翩然舞姿,愛爾蘭,7,2015,棗,雄,Not Available,$0,0,0,0,1,Not Available,,NotAvailable
564,翹軍,紐西蘭,7,2015,栗,閹,Not Available,"$586,190",1,0,0,16,Not Available,43,NotAvailable
565,耀滿瓶,日本,7,2015,深棗,雄,Not Available,"$28,300,000",2,1,0,3,Not Available,,NotAvailable
566,老友威威,澳洲,7,2015,棕,閹,Not Available,"$4,026,005",2,7,2,50,Not Available,36,NotAvailable
567,老實人,紐西蘭,7,2015,棗,閹,Not Available,"$3,954,825",3,4,5,40,Not Available,51,NotAvailable
568,老撾之光,愛爾蘭,7,2015,棗,閹,Not Available,"$86,250",0,0,1,19,Not Available,29,NotAvailable
569,聖嶅者,紐西蘭,7,2015,棗,閹,Not Available,$0,0,0,0,1,Not Available,52,NotAvailable
570,聲勢,澳洲,7,2015,棗／棕,閹,Not Available,"$2,033,800",2,3,1,18,Not Available,60,NotAvailable
571,股票傳奇,澳洲,7,2015,棗,閹,Not Available,"$3,702,133",4,2,2,29,Not Available,64,NotAvailable
572,肥仔叻叻,澳洲,7,2015,黑,閹,Not Available,"$5,622,500",2,2,0,6,Not Available,111,NotAvailable
573,肥仔威威,澳洲,7,2015,棗,閹,Not Available,"$3,647,430",3,3,3,23,Not Available,69,NotAvailable
574,育馬之星,澳洲,7,2015,棗／棕,閹,Not Available,$0,0,0,0,1,Not Available,71,NotAvailable
575,膠囊大王,德國,7,2015,棕,閹,Not Available,$0,0,0,0,2,Not Available,48,NotAvailable
576,自在人生,澳洲,7,2015,棗,閹,Not Available,"$2,034,105",1,2,3,35,Not Available,48,NotAvailable
577,自然君子,紐西蘭,7,2015,棗,閹,Not Available,"$2,798,660",2,4,4,30,Not Available,49,NotAvailable
578,至尊高陞,紐西蘭,7,2015,棗,閹,Not Available,"$3,052,880",3,3,0,16,Not Available,66,NotAvailable
579,致勝一擊,英國,7,2015,棗,雄,Not Available,"$4,400,000",0,1,0,1,Not Available,,NotAvailable
580,與龍共舞,紐西蘭,7,2015,棗,閹,Not Available,"$9,227,550",6,1,3,33,Not Available,113,NotAvailable
581,興惑,日本,7,2015,棗,閹,Not Available,"$3,183,050",2,3,1,40,Not Available,51,NotAvailable
582,舉世無雙,愛爾蘭,7,2015,棗,閹,Not Available,"$1,317,070",2,0,2,26,Not Available,36,NotAvailable
583,舞士精神,澳洲,7,2015,棗,閹,Not Available,"$3,985,790",4,3,1,11,Not Available,83,NotAvailable
584,航天勝將,紐西蘭,7,2015,栗,閹,Not Available,"$605,000",1,0,0,4,Not Available,57,NotAvailable
585,良朋共盛,澳洲,7,2015,栗,閹,Not Available,$0,0,0,0,11,Not Available,22,NotAvailable
586,花果山,愛爾蘭,7,2015,棗,閹,Not Available,$0,0,0,0,3,Not Available,71,NotAvailable
587,花開月明,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,1,Not Available,52,NotAvailable
588,英之友,澳洲,7,2015,棗,閹,Not Available,"$2,494,285",2,3,2,38,Not Available,50,NotAvailable
589,英明勇將,澳洲,7,2015,棗,閹,Not Available,"$7,978,105",9,3,2,72,Not Available,58,NotAvailable
590,草上飛,南非,7,2015,棗／棕,閹,Not Available,"$1,874,800",3,3,5,39,Not Available,48,NotAvailable
591,荷花福星,澳洲,7,2015,黑,閹,Not Available,"$2,054,525",2,3,1,26,Not Available,35,NotAvailable
592,莎皇者,英國,7,2015,棗,閹,Not Available,"$2,937,000",1,1,1,10,Not Available,84,NotAvailable
593,萬事傑,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,5,Not Available,39,NotAvailable
594,萬事叻,澳洲,7,2015,棗,閹,Not Available,"$6,362,750",5,4,4,26,Not Available,82,NotAvailable
595,萬眾之力,澳洲,7,2015,棗,閹,Not Available,"$2,035,326",2,1,3,16,Not Available,55,NotAvailable
596,葵涌精英,澳洲,7,2015,棕,閹,Not Available,"$1,294,950",1,2,4,29,Not Available,24,NotAvailable
597,藍天之星,澳洲,7,2015,栗,閹,Not Available,"$262,500",0,0,1,7,Not Available,60,NotAvailable
598,藍海策略,紐西蘭,7,2015,棕,閹,Not Available,"$3,232,195",2,6,5,46,Not Available,47,NotAvailable
599,虎視眈眈,紐西蘭,7,2015,棗,閹,Not Available,"$45,000",0,0,0,10,Not Available,31,NotAvailable
600,蟲草之星,澳洲,7,2015,棗,閹,Not Available,"$4,980,050",4,4,5,27,Not Available,77,NotAvailable
601,蟲草天峰,紐西蘭,7,2015,棗,閹,Not Available,"$60,000",0,0,0,4,Not Available,46,NotAvailable
602,蟲草無敵,紐西蘭,7,2015,棗,閹,Not Available,$0,0,0,0,1,Not Available,52,NotAvailable
603,行星夢,澳洲,7,2015,棗,閹,Not Available,"$3,583,920",3,4,0,25,Not Available,49,NotAvailable
604,表表馬,紐西蘭,7,2015,棗,閹,Not Available,"$225,955",0,0,1,19,Not Available,17,NotAvailable
605,西夏之王,南非,7,2015,棕,閹,Not Available,"$71,250",0,0,0,23,Not Available,13,NotAvailable
606,見龍在田,紐西蘭,7,2015,棕,閹,Not Available,$0,0,0,0,7,Not Available,32,NotAvailable
607,觀世界,澳洲,7,2015,棗,閹,Not Available,"$825,000",1,1,0,13,Not Available,51,NotAvailable
608,謀勇兼備,日本,7,2015,棕,雌,Not Available,"$2,500,000",0,0,1,1,Not Available,,NotAvailable
609,譽滿杜拜,愛爾蘭,7,2015,棗,閹,Not Available,"$1,710,000",0,0,0,1,Not Available,,NotAvailable
610,變魔術,愛爾蘭,7,2015,棗,雌,Not Available,"$2,800,000",0,0,1,1,Not Available,,NotAvailable
611,豪情勁駿,澳洲,7,2015,栗,閹,Not Available,$0,0,0,0,8,Not Available,43,NotAvailable
612,豹子頭,紐西蘭,7,2015,栗,閹,Not Available,"$6,520,300",6,1,2,24,Not Available,81,NotAvailable
613,財來有方,紐西蘭,7,2015,棗／灰,閹,Not Available,$0,0,0,0,7,Not Available,30,NotAvailable
614,財照發,紐西蘭,7,2015,棗,閹,Not Available,"$572,400",0,1,2,10,Not Available,47,NotAvailable
615,資本家,澳洲,7,2015,棗,閹,Not Available,"$1,526,250",1,2,0,5,Not Available,79,NotAvailable
616,赤水神駒,澳洲,7,2015,棗,閹,Not Available,"$4,572,905",7,4,3,68,Not Available,34,NotAvailable
617,赤火神龍,巴西,7,2015,棕,閹,Not Available,"$1,953,178",2,2,2,40,Not Available,35,NotAvailable
618,赤狐,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,4,Not Available,67,NotAvailable
619,赤電神駒,紐西蘭,7,2015,栗,閹,Not Available,$0,0,0,0,7,Not Available,35,NotAvailable
620,超奇才,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,3,Not Available,63,NotAvailable
621,超得意,紐西蘭,7,2015,棗,閹,Not Available,$0,0,0,0,4,Not Available,45,NotAvailable
622,超新星,澳洲,7,2015,棗,閹,Not Available,"$4,771,100",5,0,4,16,Not Available,80,NotAvailable
623,超然,澳洲,7,2015,棗,閹,Not Available,"$3,839,650",3,7,6,64,Not Available,28,NotAvailable
624,超班福星,紐西蘭,7,2015,栗,閹,Not Available,"$2,530,425",0,6,1,34,Not Available,39,NotAvailable
625,超組合,澳洲,7,2015,棗／棕,閹,Not Available,"$220,000",0,1,0,6,Not Available,43,NotAvailable
626,超能量,紐西蘭,7,2015,棗,閹,Not Available,"$3,822,968",1,9,6,31,Not Available,63,NotAvailable
627,超誠寶寶,英國,7,2015,栗,閹,Not Available,"$319,000",0,1,0,14,Not Available,22,NotAvailable
628,超跑王,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,14,Not Available,41,NotAvailable
629,超霸無敵,澳洲,7,2015,棕,閹,Not Available,"$445,450",1,0,0,18,Not Available,26,NotAvailable
630,超霸神駒,智利,7,2015,棗,閹,Not Available,"$3,479,500",3,0,2,14,Not Available,102,NotAvailable
631,趣怡,澳洲,7,2015,棗,閹,Not Available,"$948,750",1,3,0,26,Not Available,27,NotAvailable
632,跑得威,紐西蘭,7,2015,棗,閹,Not Available,"$1,414,770",2,1,2,23,Not Available,34,NotAvailable
633,路路之星,澳洲,7,2015,棗,閹,Not Available,"$2,067,290",2,3,0,13,Not Available,65,NotAvailable
634,路路富貴,愛爾蘭,7,2015,栗,閹,Not Available,"$444,000",0,1,1,28,Not Available,17,NotAvailable
635,跳出香港,法國,7,2015,棗,閹,Not Available,"$17,272,725",6,2,2,20,Not Available,126,NotAvailable
636,軍力勁,澳洲,7,2015,栗,閹,Not Available,"$3,891,350",3,4,5,35,Not Available,51,NotAvailable
637,軍威振,澳洲,7,2015,棕,閹,Not Available,"$787,500",0,1,0,20,Not Available,46,NotAvailable
638,軍炮,英國,7,2015,棗,閹,Not Available,"$2,985,063",3,2,5,36,Not Available,38,NotAvailable
639,軒轅又牽,澳洲,7,2015,栗,閹,Not Available,"$220,000",0,1,0,7,Not Available,47,NotAvailable
640,載譽歸來,澳洲,7,2015,棗,閹,Not Available,"$8,281,050",3,6,2,28,Not Available,95,NotAvailable
641,輝煌巨星,法國,7,2015,棗,閹,Not Available,"$1,179,180",0,4,3,32,Not Available,21,NotAvailable
642,輝煌星,澳洲,7,2015,栗,閹,Not Available,"$7,890,700",4,2,7,29,Not Available,94,NotAvailable
643,輝煌芯,澳洲,7,2015,栗,閹,Not Available,"$3,257,880",4,1,1,11,Not Available,80,NotAvailable
644,轉數高,澳洲,7,2015,棗,閹,Not Available,"$4,469,600",4,1,6,29,Not Available,75,NotAvailable
645,辣得真,澳洲,7,2015,栗,閹,Not Available,"$146,345",0,0,1,16,Not Available,21,NotAvailable
646,辣臣,澳洲,7,2015,棕,閹,Not Available,"$3,978,000",2,3,5,24,Not Available,73,NotAvailable
647,迎有,澳洲,7,2015,棗,閹,Not Available,"$35,000",0,0,0,9,Not Available,50,NotAvailable
648,逍遙自在,愛爾蘭,7,2015,棗,閹,Not Available,"$10,499,650",7,2,5,35,Not Available,100,NotAvailable
649,連利之友,紐西蘭,7,2015,棗,閹,Not Available,$0,0,0,0,7,Not Available,33,NotAvailable
650,連連歡樂,澳洲,7,2015,栗,閹,Not Available,"$1,916,190",2,1,0,7,Not Available,71,NotAvailable
651,進優,澳洲,7,2015,栗,閹,Not Available,$0,0,0,0,9,Not Available,26,NotAvailable
652,運來寶兒,澳洲,7,2015,棕,閹,Not Available,$0,0,0,0,14,Not Available,9,NotAvailable
653,運來福星,澳洲,7,2015,栗,閹,Not Available,"$2,152,350",1,1,6,35,Not Available,53,NotAvailable
654,過關勝將,紐西蘭,7,2015,棗,閹,Not Available,$0,0,0,0,8,Not Available,17,NotAvailable
655,道道,南非,7,2015,棗,閹,Not Available,"$126,000",0,0,0,5,Not Available,73,NotAvailable
656,達心星,紐西蘭,7,2015,棗,閹,Not Available,"$25,170,715",7,4,2,20,Not Available,117,NotAvailable
657,達龍駒,澳洲,7,2015,棕,閹,Not Available,"$9,378,000",2,1,2,17,Not Available,102,NotAvailable
658,遨遊千里,澳洲,7,2015,栗,閹,Not Available,"$620,430",0,2,1,13,Not Available,40,NotAvailable
659,都會之星,澳洲,7,2015,棕,閹,Not Available,$0,0,0,0,4,Not Available,43,NotAvailable
660,都靈紅星,英國,7,2015,棗,閹,Not Available,"$9,310,500",6,6,3,53,Not Available,73,NotAvailable
661,鄉村瑰寶,澳洲,7,2015,棗,閹,Not Available,"$7,247,900",5,2,2,20,Not Available,95,NotAvailable
662,酷比哥,澳洲,7,2015,棗,閹,Not Available,"$2,661,200",3,1,0,23,Not Available,42,NotAvailable
663,醉醒神,澳洲,7,2015,棗／棕,閹,Not Available,"$2,845,340",2,6,3,39,Not Available,33,NotAvailable
664,醉開心,紐西蘭,7,2015,栗,閹,Not Available,"$906,895",1,1,2,36,Not Available,19,NotAvailable
665,醒旺財,澳洲,7,2015,棗,閹,Not Available,"$2,163,805",0,7,3,22,Not Available,46,NotAvailable
666,醒目再臨,愛爾蘭,7,2015,棗,閹,Not Available,"$2,892,940",2,3,3,43,Not Available,34,NotAvailable
667,野田優驥,日本,7,2015,棕,雄,Not Available,"$1,596,000",0,0,0,1,Not Available,,NotAvailable
668,野田賢君,日本,7,2015,深棗,雄,Not Available,$0,0,0,0,1,Not Available,,NotAvailable
669,野田重擊,日本,7,2015,棗,雄,Not Available,"$12,900,000",1,0,0,4,Not Available,,NotAvailable
670,金元寶馬,紐西蘭,7,2015,棗,閹,Not Available,"$868,020",0,3,1,21,Not Available,50,NotAvailable
671,金剛秀,紐西蘭,7,2015,棗,閹,Not Available,"$2,569,500",2,8,2,54,Not Available,10,NotAvailable
672,金地飛客,紐西蘭,7,2015,棗,閹,Not Available,"$3,565,330",5,3,2,42,Not Available,47,NotAvailable
673,金如意,紐西蘭,7,2015,棗,閹,Not Available,"$3,520,620",3,1,5,40,Not Available,47,NotAvailable
674,金期莊家,愛爾蘭,7,2015,栗,閹,Not Available,"$123,900",0,0,0,19,Not Available,32,NotAvailable
675,金枝玉葉,紐西蘭,7,2015,棗,閹,Not Available,"$1,140,000",2,0,0,6,Not Available,61,NotAvailable
676,金糠,南非,7,2015,棗,閹,Not Available,$0,0,0,0,20,Not Available,31,NotAvailable
677,金融才雋,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,4,Not Available,66,NotAvailable
678,金馬玉堂,澳洲,7,2015,棗,閹,Not Available,"$60,000",0,0,0,2,Not Available,50,NotAvailable
679,金鷹翱翔,澳洲,7,2015,栗,閹,Not Available,"$2,029,000",1,1,3,22,Not Available,70,NotAvailable
680,金鼓雷鳴,英國,7,2015,棗,閹,Not Available,"$962,800",1,1,1,10,Not Available,52,NotAvailable
681,金鼓齊鳴,澳洲,7,2015,棗,閹,Not Available,"$5,968,700",5,3,3,23,Not Available,87,NotAvailable
682,銀亮戰士,澳洲,7,2015,棗,閹,Not Available,"$60,000",0,0,0,4,Not Available,44,NotAvailable
683,銀時,澳洲,7,2015,棗,閹,Not Available,"$326,320",0,1,0,17,Not Available,44,NotAvailable
684,銳俊良駒,澳洲,7,2015,栗,閹,Not Available,$0,0,0,0,12,Not Available,8,NotAvailable
685,鋒芒快露,英國,7,2015,棗,閹,Not Available,"$1,811,645",2,2,1,12,Not Available,60,NotAvailable
686,錢途光輝,澳洲,7,2015,栗,閹,Not Available,$0,0,0,0,7,Not Available,32,NotAvailable
687,錢途永恒,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,4,Not Available,42,NotAvailable
688,錢途燦爛,澳洲,7,2015,棗,閹,Not Available,"$954,645",1,0,3,16,Not Available,44,NotAvailable
689,錶之鈴,日本,7,2015,深棗,閹,Not Available,$0,0,0,0,9,Not Available,47,NotAvailable
690,錶之銳,日本,7,2015,栗,閹,Not Available,"$4,860,150",3,4,3,38,Not Available,71,NotAvailable
691,鎧運之星,紐西蘭,7,2015,棗,閹,Not Available,"$1,179,210",2,0,0,11,Not Available,56,NotAvailable
692,鐵胆威龍,紐西蘭,7,2015,棗,閹,Not Available,"$1,043,095",0,1,6,20,Not Available,39,NotAvailable
693,鑲白旗,愛爾蘭,7,2015,棗,閹,Not Available,"$5,270,200",3,4,6,41,Not Available,75,NotAvailable
694,鑲藍旗,澳洲,7,2015,棗,閹,Not Available,"$220,950",0,0,2,16,Not Available,21,NotAvailable
695,鑽一鑽,愛爾蘭,7,2015,棕,閹,Not Available,"$36,400",0,0,0,12,Not Available,49,NotAvailable
696,鑽飾明駝,澳洲,7,2015,棗,閹,Not Available,"$1,699,920",2,1,1,23,Not Available,58,NotAvailable
697,鑽飾貔貅,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,5,Not Available,38,NotAvailable
698,閃耀中華,澳洲,7,2015,棕,閹,Not Available,"$457,300",0,1,1,14,Not Available,36,NotAvailable
699,閃電精靈,澳洲,7,2015,棗／棕,閹,Not Available,"$5,434,068",4,5,3,32,Not Available,63,NotAvailable
700,閃電龍,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,10,Not Available,26,NotAvailable
701,開心一號,澳洲,7,2015,棗,閹,Not Available,"$375,000",0,1,0,14,Not Available,27,NotAvailable
702,開心人生,澳洲,7,2015,栗,閹,Not Available,"$2,769,905",2,3,2,18,Not Available,71,NotAvailable
703,開心好友,澳洲,7,2015,棗,閹,Not Available,"$3,813,113",3,5,5,41,Not Available,50,NotAvailable
704,開心好玩,紐西蘭,7,2015,棗,閹,Not Available,"$3,981,700",2,4,2,22,Not Available,83,NotAvailable
705,開心日子,澳洲,7,2015,棗,閹,Not Available,"$3,700,955",3,7,3,51,Not Available,38,NotAvailable
706,開心歡呼,英國,7,2015,栗,閹,Not Available,$0,0,0,0,10,Not Available,25,NotAvailable
707,開心財星,愛爾蘭,7,2015,棗,閹,Not Available,"$50,750",0,0,0,12,Not Available,34,NotAvailable
708,阿李蝦蝦,澳洲,7,2015,棗,閹,Not Available,"$48,650",0,0,0,11,Not Available,30,NotAvailable
709,陳年美酒,日本,7,2015,棗,雄,Not Available,"$520,000",0,0,0,1,Not Available,,NotAvailable
710,陽光戰駒,英國,7,2015,栗,閹,Not Available,"$570,000",1,0,0,15,Not Available,59,NotAvailable
711,陽光霸駒,澳洲,7,2015,灰,閹,Not Available,"$90,000",0,0,0,6,Not Available,60,NotAvailable
712,陽剛武士,澳洲,7,2015,栗,閹,Not Available,"$426,205",0,1,1,15,Not Available,50,NotAvailable
713,陽明亮亮,紐西蘭,7,2015,棗,閹,Not Available,"$3,941,920",4,5,6,40,Not Available,50,NotAvailable
714,陽明滿滿,紐西蘭,7,2015,棗,閹,Not Available,"$3,337,720",4,2,4,34,Not Available,50,NotAvailable
715,陽明秋秋,紐西蘭,7,2015,棗,閹,Not Available,"$2,874,460",2,6,4,44,Not Available,35,NotAvailable
716,隨喜,澳洲,7,2015,棗,閹,Not Available,"$329,100",0,1,0,16,Not Available,24,NotAvailable
717,隨我來,愛爾蘭,7,2015,棗,閹,Not Available,"$2,250,190",3,2,2,44,Not Available,27,NotAvailable
718,雪山飛狐,英國,7,2015,灰,閹,Not Available,"$1,978,500",1,1,0,7,Not Available,81,NotAvailable
719,雪茄菸,愛爾蘭,7,2015,栗,閹,Not Available,$0,0,0,0,5,Not Available,40,NotAvailable
720,雪霸神駒,南非,7,2015,棗,閹,Not Available,"$1,367,750",0,0,0,17,Not Available,73,NotAvailable
721,雷公鑿,澳洲,7,2015,棗,閹,Not Available,"$6,965,996",5,5,9,79,Not Available,38,NotAvailable
722,電子傳承,澳洲,7,2015,棗,閹,Not Available,"$87,000",0,0,0,21,Not Available,22,NotAvailable
