,HorseName,HorseOrigin,Age,YearOfBirth,Color,Sex,H_SeasonalStake,H_TotalStake,H_1st,H_2nd,H_3rd,H_Total,H_Trainer,CurrentRating,StartofTheSeasonRating
313,拖板精英,澳洲,7,2015,棗,閹,Not Available,"$401,250",0,2,0,15,Not Available,20,NotAvailable
314,捉金皇,澳洲,7,2015,棗,閹,Not Available,"$3,011,723",3,3,3,31,Not Available,53,NotAvailable
315,插班生,紐西蘭,7,2015,棗,閹,Not Available,$0,0,0,0,10,Not Available,19,NotAvailable
316,揚帆順風,澳洲,7,2015,棗,閹,Not Available,"$158,800",0,0,0,17,Not Available,42,NotAvailable
317,摘星之光,紐西蘭,7,2015,棗,閹,Not Available,"$400,430",0,0,2,16,Not Available,33,NotAvailable
318,摯勝寶寶,法國,7,2015,棗,閹,Not Available,$0,0,0,0,2,Not Available,68,NotAvailable
319,文政兼從,愛爾蘭,7,2015,栗,雄,Not Available,$0,0,0,0,1,Not Available,,NotAvailable
320,文武傳奇,紐西蘭,7,2015,棗,閹,Not Available,"$5,194,000",7,1,5,43,Not Available,51,NotAvailable
321,文武先鋒,英國,7,2015,棗,閹,Not Available,"$373,950",0,0,2,16,Not Available,40,NotAvailable
322,新界之星,澳洲,7,2015,棗,閹,Not Available,"$3,825,395",5,2,7,55,Not Available,27,NotAvailable
323,旌暉,澳洲,7,2015,棕,閹,Not Available,"$20,481,450",7,8,10,48,Not Available,110,NotAvailable
324,旗幟輝煌,英國,7,2015,栗,閹,Not Available,"$1,610,500",1,1,2,7,Not Available,83,NotAvailable
325,旗袍老細,澳洲,7,2015,棗,閹,Not Available,"$178,020",0,0,0,9,Not Available,37,NotAvailable
326,日日有餘,紐西蘭,7,2015,棗,閹,Not Available,"$115,000",0,0,1,8,Not Available,38,NotAvailable
327,日日精彩,澳洲,7,2015,灰,閹,Not Available,"$9,549,100",5,0,3,22,Not Available,110,NotAvailable
328,旺旺寶駒,澳洲,7,2015,棗,閹,Not Available,"$1,084,950",2,0,1,19,Not Available,36,NotAvailable
329,旺舖必星,澳洲,7,2015,棕,閹,Not Available,"$123,845",0,0,0,14,Not Available,26,NotAvailable
330,旺蝦王,澳洲,7,2015,灰,閹,Not Available,"$37,586,550",12,5,3,31,Not Available,112,NotAvailable
331,明德之星,澳洲,7,2015,棗,閹,Not Available,"$2,361,775",3,3,5,37,Not Available,20,NotAvailable
332,明月昇輝,澳洲,7,2015,棗,閹,Not Available,"$2,714,260",3,4,4,41,Not Available,42,NotAvailable
333,明月生輝,澳洲,7,2015,棗,閹,Not Available,"$409,600",0,0,3,9,Not Available,48,NotAvailable
334,明月輝煌,澳洲,7,2015,棗,閹,Not Available,"$382,500",0,1,0,10,Not Available,64,NotAvailable
335,明海快駒,澳洲,7,2015,栗,閹,Not Available,$0,0,0,0,2,Not Available,49,NotAvailable
336,明駿之星,澳洲,7,2015,棗,閹,Not Available,"$10,643,950",6,6,8,39,Not Available,90,NotAvailable
337,易來豐,澳洲,7,2015,棕,閹,Not Available,"$218,400",0,1,0,10,Not Available,38,NotAvailable
