,False,True,accuracy,macro avg,weighted avg
precision,0.9218500797448166,0.6451612903225806,0.9195887160558924,0.7835056850336986,0.898944653992488
recall,0.9968381718884737,0.06369426751592357,0.9195887160558924,0.5302662197021987,0.9195887160558924
f1-score,0.957878746029554,0.11594202898550725,0.9195887160558924,0.5369103875075306,0.8881797929180775
support,3479.0,314.0,0.9195887160558924,3793.0,3793.0
