,False,True,accuracy,macro avg,weighted avg
precision,0.9286867599569429,0.6363636363636364,0.9227524387028737,0.7825251981602896,0.9044870602974918
recall,0.9919517102615694,0.15605095541401273,0.9227524387028737,0.5740013328377911,0.9227524387028737
f1-score,0.959277275886032,0.25063938618925835,0.9227524387028737,0.6049583310376452,0.9006133430189645
support,3479.0,314.0,0.9227524387028737,3793.0,3793.0
