,precision,recall,thresholds
0,0.08270181219110379,1.0,0.0
1,0.08319522704673517,1.0,6.218905472636816e-06
2,0.08322281167108753,1.0,1.171875e-05
3,0.08330567540657152,1.0,1.3046403065904719e-05
4,0.08333333333333333,1.0,1.638001638001638e-05
5,0.08369456485495165,1.0,1.7921146953405018e-05
6,0.08377837116154874,1.0,1.7937655472636815e-05
7,0.08394648829431438,1.0,1.795316396508728e-05
8,0.08403080013391362,1.0,2.25989218526532e-05
9,0.08414347971840429,1.0,2.4140052426041836e-05
10,0.08417169684775319,1.0,2.5125628140703518e-05
11,0.08419993290842,1.0,2.8098766380016378e-05
12,0.08422818791946309,1.0,3.184713375796179e-05
13,0.08428475486903962,1.0,3.2945667713213216e-05
14,0.08431306684581794,1.0,3.401360544217687e-05
15,0.08434139784946236,1.0,3.7606934093229597e-05
16,0.08436974789915966,1.0,3.826185445441463e-05
17,0.08439811701412239,1.0,4.004004004004004e-05
18,0.08442650521358896,1.0,4.023251091481369e-05
19,0.08445491251682369,1.0,4.273504273504274e-05
20,0.08451178451178451,1.0,4.483133278145695e-05
21,0.08454024924216907,1.0,4.772454999335671e-05
22,0.08456873315363882,1.0,4.822715013797817e-05
23,0.08462575859743762,1.0,4.918032786885246e-05
24,0.08465430016863407,1.0,5.1526106849101806e-05
25,0.08468286099865047,1.0,5.619950992705144e-05
26,0.08471144110698617,1.0,5.642005642005642e-05
27,0.08476865923674434,1.0,5.708572013925505e-05
28,0.08479729729729729,1.0,5.7977695512676854e-05
29,0.08482595471443055,1.0,5.7993204005127324e-05
30,0.08485463150777553,1.0,5.882352941176471e-05
31,0.0848833276969902,1.0,5.928853754940711e-05
32,0.08491204330175914,1.0,6.55229515144944e-05
33,0.08494077834179357,1.0,7.056923442000524e-05
34,0.08496953283683141,1.0,7.08140222176167e-05
35,0.08499830680663732,1.0,7.421150278293136e-05
36,0.08502710027100271,1.0,7.458217649300452e-05
37,0.08505591324974585,1.0,7.56685539294235e-05
38,0.0851135978297728,1.0,7.575757575757576e-05
39,0.08514246947082768,1.0,8.043040825556817e-05
40,0.08520027155465038,1.0,8.049545940170942e-05
41,0.08522920203735145,1.0,8.197648123021258e-05
42,0.08531611148878314,1.0,8.242626036851631e-05
43,0.08534512070724243,1.0,8.399420989659149e-05
44,0.08537414965986395,1.0,9.002064449445465e-05
45,0.08540319836679143,1.0,9.009009009009009e-05
46,0.08543226684819605,1.0,9.059151916294774e-05
47,0.08546135512427647,1.0,9.259259259259259e-05
48,0.08549046321525886,1.0,9.367872271098078e-05
49,0.08551959114139693,1.0,9.602569778622186e-05
50,0.08554873892297205,1.0,9.946141303040267e-05
51,0.08557790658029321,1.0,9.98976281836176e-05
52,0.08560709413369713,1.0,0.00010040160642570282
53,0.08569477637418914,1.0,0.00010202358028444984
54,0.08572404371584699,1.0,0.00010231026916294774
55,0.08575333105568841,1.0,0.00010564224060672363
56,0.08578263841421736,1.0,0.00010605863654089314
57,0.08584131326949385,1.0,0.00010688884701080425
58,0.08587068080738967,1.0,0.00010689004641223414
59,0.08590006844626968,1.0,0.0001072114826557379
60,0.0859294762067785,1.0,0.00010897260897260897
61,0.08598835217540253,1.0,0.00010971729908662346
62,0.0860178204249486,1.0,0.00011389132078787251
63,0.08604730887898526,1.0,0.0001142515428229714
64,0.08613589567604667,1.0,0.00011694654551797408
65,0.08616546515619636,1.0,0.00012101230635495414
66,0.08619505494505494,1.0,0.00012470225584979683
67,0.08622466506355204,1.0,0.00012661679912731805
68,0.08625429553264605,1.0,0.00012714920842515337
69,0.08628394637332416,1.0,0.0001306315592029878
70,0.08631361760660247,1.0,0.00013234517260762412
71,0.08634330925352597,1.0,0.00013350004033233845
72,0.08637302133516862,1.0,0.0001368504646756246
73,0.0864027538726334,1.0,0.00013893299539401193
74,0.08643250688705234,1.0,0.00013932577739754907
75,0.08646228039958663,1.0,0.00014169736600882146
76,0.08652188900379179,1.0,0.00014211762601204955
77,0.08655172413793104,1.0,0.00014950009432182607
78,0.08658157985512245,1.0,0.00015106476276179057
79,0.08661145617667357,1.0,0.00015617871589768546
80,0.0866413531239213,1.0,0.0001566788337046177
81,0.08667127071823204,1.0,0.00015837930193837968
82,0.08670120898100173,1.0,0.00015851287163521613
83,0.08673116793365584,1.0,0.00015986689814814816
84,0.0867611475976495,1.0,0.0001612376087312337
85,0.0867911479944675,1.0,0.00016244701746755773
86,0.08682116914562435,1.0,0.00016308487587831505
87,0.08685121107266436,1.0,0.00016389554433032694
88,0.08688127379716165,1.0,0.00016391562396583516
89,0.08691135734072022,1.0,0.00016901792672687784
90,0.08694146172497402,1.0,0.00016957813836720683
91,0.08697158697158697,1.0,0.00017080676573781557
92,0.08700173310225304,1.0,0.00017102480051923083
93,0.08703190013869626,1.0,0.00017124037535960252
